Ten-Year Age Groups	Ten-Year Age Groups Code	Multiple Cause of death	Multiple Cause of death Code	Year	Year Code	Deaths	Population	Crude Rate
5-14 years	14-May	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2011	2011	0	41039048	Unreliable
5-14 years	14-May	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2012	2012	0	41144754	Unreliable
5-14 years	14-May	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2013	2013	0	41221035	Unreliable
5-14 years	14-May	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2014	2014	0	41191072	Unreliable
5-14 years	14-May	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2015	2015	0	41109506	Unreliable
5-14 years	14-May	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2016	2016	0	41048032	Unreliable
5-14 years	14-May	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2017	2017	0	41082692	Unreliable
5-14 years	14-May	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2018	2018	0	41075169	Unreliable
5-14 years	14-May	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2019	2019	1	40994163	Unreliable
15-24 years	15-24	Opium	T40.0	1999	1999	1	38676031	Unreliable
15-24 years	15-24	Opium	T40.0	2000	2000	1	39183891	Unreliable
15-24 years	15-24	Opium	T40.0	2001	2001	1	40213570	Unreliable
15-24 years	15-24	Opium	T40.0	2002	2002	1	40854135	Unreliable
15-24 years	15-24	Opium	T40.0	2003	2003	0	41388854	Unreliable
15-24 years	15-24	Opium	T40.0	2004	2004	0	41948112	Unreliable
15-24 years	15-24	Opium	T40.0	2005	2005	1	42446169	Unreliable
15-24 years	15-24	Opium	T40.0	2006	2006	1	42843844	Unreliable
15-24 years	15-24	Opium	T40.0	2007	2007	1	43145815	Unreliable
15-24 years	15-24	Opium	T40.0	2008	2008	0	43391492	Unreliable
15-24 years	15-24	Opium	T40.0	2009	2009	0	43576932	Unreliable
15-24 years	15-24	Opium	T40.0	2010	2010	1	43626342	Unreliable
15-24 years	15-24	Opium	T40.0	2011	2011	0	43797875	Unreliable
15-24 years	15-24	Opium	T40.0	2012	2012	1	43943905	Unreliable
15-24 years	15-24	Opium	T40.0	2013	2013	1	43954402	Unreliable
15-24 years	15-24	Opium	T40.0	2014	2014	0	43979821	Unreliable
15-24 years	15-24	Opium	T40.0	2015	2015	0	43848216	Unreliable
15-24 years	15-24	Opium	T40.0	2016	2016	0	43511027	Unreliable
15-24 years	15-24	Opium	T40.0	2017	2017	1	43250295	Unreliable
15-24 years	15-24	Opium	T40.0	2018	2018	0	42970800	Unreliable
15-24 years	15-24	Opium	T40.0	2019	2019	0	42687510	Unreliable
15-24 years	15-24	Heroin	T40.1	1999	1999	206	38676031	0.5
15-24 years	15-24	Heroin	T40.1	2000	2000	232	39183891	0.6
15-24 years	15-24	Heroin	T40.1	2001	2001	225	40213570	0.6
15-24 years	15-24	Heroin	T40.1	2002	2002	246	40854135	0.6
15-24 years	15-24	Heroin	T40.1	2003	2003	269	41388854	0.6
15-24 years	15-24	Heroin	T40.1	2004	2004	271	41948112	0.6
15-24 years	15-24	Heroin	T40.1	2005	2005	296	42446169	0.7
15-24 years	15-24	Heroin	T40.1	2006	2006	327	42843844	0.8
15-24 years	15-24	Heroin	T40.1	2007	2007	369	43145815	0.9
15-24 years	15-24	Heroin	T40.1	2008	2008	500	43391492	1.2
15-24 years	15-24	Heroin	T40.1	2009	2009	521	43576932	1.2
15-24 years	15-24	Heroin	T40.1	2010	2010	543	43626342	1.2
15-24 years	15-24	Heroin	T40.1	2011	2011	816	43797875	1.9
15-24 years	15-24	Heroin	T40.1	2012	2012	970	43943905	2.2
15-24 years	15-24	Heroin	T40.1	2013	2013	1277	43954402	2.9
15-24 years	15-24	Heroin	T40.1	2014	2014	1468	43979821	3.3
15-24 years	15-24	Heroin	T40.1	2015	2015	1672	43848216	3.8
15-24 years	15-24	Heroin	T40.1	2016	2016	1754	43511027	4
15-24 years	15-24	Heroin	T40.1	2017	2017	1471	43250295	3.4
15-24 years	15-24	Heroin	T40.1	2018	2018	1171	42970800	2.7
15-24 years	15-24	Heroin	T40.1	2019	2019	887	42687510	2.1
15-24 years	15-24	Other opioids	T40.2	1999	1999	192	38676031	0.5
15-24 years	15-24	Other opioids	T40.2	2000	2000	222	39183891	0.6
15-24 years	15-24	Other opioids	T40.2	2001	2001	358	40213570	0.9
15-24 years	15-24	Other opioids	T40.2	2002	2002	376	40854135	0.9
15-24 years	15-24	Other opioids	T40.2	2003	2003	458	41388854	1.1
15-24 years	15-24	Other opioids	T40.2	2004	2004	517	41948112	1.2
15-24 years	15-24	Other opioids	T40.2	2005	2005	541	42446169	1.3
15-24 years	15-24	Other opioids	T40.2	2006	2006	704	42843844	1.6
15-24 years	15-24	Other opioids	T40.2	2007	2007	791	43145815	1.8
15-24 years	15-24	Other opioids	T40.2	2008	2008	874	43391492	2
15-24 years	15-24	Other opioids	T40.2	2009	2009	884	43576932	2
15-24 years	15-24	Other opioids	T40.2	2010	2010	1081	43626342	2.5
15-24 years	15-24	Other opioids	T40.2	2011	2011	1062	43797875	2.4
15-24 years	15-24	Other opioids	T40.2	2012	2012	848	43943905	1.9
15-24 years	15-24	Other opioids	T40.2	2013	2013	779	43954402	1.8
15-24 years	15-24	Other opioids	T40.2	2014	2014	747	43979821	1.7
15-24 years	15-24	Other opioids	T40.2	2015	2015	744	43848216	1.7
15-24 years	15-24	Other opioids	T40.2	2016	2016	1010	43511027	2.3
15-24 years	15-24	Other opioids	T40.2	2017	2017	927	43250295	2.1
15-24 years	15-24	Other opioids	T40.2	2018	2018	704	42970800	1.6
15-24 years	15-24	Other opioids	T40.2	2019	2019	621	42687510	1.5
15-24 years	15-24	Methadone	T40.3	1999	1999	53	38676031	0.1
15-24 years	15-24	Methadone	T40.3	2000	2000	85	39183891	0.2
15-24 years	15-24	Methadone	T40.3	2001	2001	166	40213570	0.4
15-24 years	15-24	Methadone	T40.3	2002	2002	302	40854135	0.7
15-24 years	15-24	Methadone	T40.3	2003	2003	451	41388854	1.1
15-24 years	15-24	Methadone	T40.3	2004	2004	610	41948112	1.5
15-24 years	15-24	Methadone	T40.3	2005	2005	615	42446169	1.4
15-24 years	15-24	Methadone	T40.3	2006	2006	835	42843844	1.9
15-24 years	15-24	Methadone	T40.3	2007	2007	876	43145815	2
15-24 years	15-24	Methadone	T40.3	2008	2008	711	43391492	1.6
15-24 years	15-24	Methadone	T40.3	2009	2009	634	43576932	1.5
15-24 years	15-24	Methadone	T40.3	2010	2010	569	43626342	1.3
15-24 years	15-24	Methadone	T40.3	2011	2011	485	43797875	1.1
15-24 years	15-24	Methadone	T40.3	2012	2012	345	43943905	0.8
15-24 years	15-24	Methadone	T40.3	2013	2013	277	43954402	0.6
15-24 years	15-24	Methadone	T40.3	2014	2014	241	43979821	0.5
15-24 years	15-24	Methadone	T40.3	2015	2015	202	43848216	0.5
15-24 years	15-24	Methadone	T40.3	2016	2016	187	43511027	0.4
15-24 years	15-24	Methadone	T40.3	2017	2017	171	43250295	0.4
15-24 years	15-24	Methadone	T40.3	2018	2018	127	42970800	0.3
15-24 years	15-24	Methadone	T40.3	2019	2019	81	42687510	0.2
15-24 years	15-24	Other synthetic narcotics	T40.4	1999	1999	34	38676031	0.1
15-24 years	15-24	Other synthetic narcotics	T40.4	2000	2000	40	39183891	0.1
15-24 years	15-24	Other synthetic narcotics	T40.4	2001	2001	57	40213570	0.1
15-24 years	15-24	Other synthetic narcotics	T40.4	2002	2002	85	40854135	0.2
15-24 years	15-24	Other synthetic narcotics	T40.4	2003	2003	110	41388854	0.3
15-24 years	15-24	Other synthetic narcotics	T40.4	2004	2004	124	41948112	0.3
15-24 years	15-24	Other synthetic narcotics	T40.4	2005	2005	134	42446169	0.3
15-24 years	15-24	Other synthetic narcotics	T40.4	2006	2006	289	42843844	0.7
15-24 years	15-24	Other synthetic narcotics	T40.4	2007	2007	180	43145815	0.4
15-24 years	15-24	Other synthetic narcotics	T40.4	2008	2008	190	43391492	0.4
15-24 years	15-24	Other synthetic narcotics	T40.4	2009	2009	208	43576932	0.5
15-24 years	15-24	Other synthetic narcotics	T40.4	2010	2010	236	43626342	0.5
15-24 years	15-24	Other synthetic narcotics	T40.4	2011	2011	223	43797875	0.5
15-24 years	15-24	Other synthetic narcotics	T40.4	2012	2012	179	43943905	0.4
15-24 years	15-24	Other synthetic narcotics	T40.4	2013	2013	239	43954402	0.5
15-24 years	15-24	Other synthetic narcotics	T40.4	2014	2014	523	43979821	1.2
15-24 years	15-24	Other synthetic narcotics	T40.4	2015	2015	1010	43848216	2.3
15-24 years	15-24	Other synthetic narcotics	T40.4	2016	2016	1976	43511027	4.5
15-24 years	15-24	Other synthetic narcotics	T40.4	2017	2017	2673	43250295	6.2
15-24 years	15-24	Other synthetic narcotics	T40.4	2018	2018	2662	42970800	6.2
15-24 years	15-24	Other synthetic narcotics	T40.4	2019	2019	3063	42687510	7.2
15-24 years	15-24	Cocaine	T40.5	1999	1999	291	38676031	0.8
15-24 years	15-24	Cocaine	T40.5	2000	2000	305	39183891	0.8
15-24 years	15-24	Cocaine	T40.5	2001	2001	299	40213570	0.7
15-24 years	15-24	Cocaine	T40.5	2002	2002	416	40854135	1
15-24 years	15-24	Cocaine	T40.5	2003	2003	511	41388854	1.2
15-24 years	15-24	Cocaine	T40.5	2004	2004	540	41948112	1.3
15-24 years	15-24	Cocaine	T40.5	2005	2005	598	42446169	1.4
15-24 years	15-24	Cocaine	T40.5	2006	2006	734	42843844	1.7
15-24 years	15-24	Cocaine	T40.5	2007	2007	596	43145815	1.4
15-24 years	15-24	Cocaine	T40.5	2008	2008	401	43391492	0.9
15-24 years	15-24	Cocaine	T40.5	2009	2009	288	43576932	0.7
15-24 years	15-24	Cocaine	T40.5	2010	2010	278	43626342	0.6
15-24 years	15-24	Cocaine	T40.5	2011	2011	328	43797875	0.7
15-24 years	15-24	Cocaine	T40.5	2012	2012	281	43943905	0.6
15-24 years	15-24	Cocaine	T40.5	2013	2013	285	43954402	0.6
15-24 years	15-24	Cocaine	T40.5	2014	2014	347	43979821	0.8
15-24 years	15-24	Cocaine	T40.5	2015	2015	460	43848216	1
15-24 years	15-24	Cocaine	T40.5	2016	2016	793	43511027	1.8
15-24 years	15-24	Cocaine	T40.5	2017	2017	965	43250295	2.2
15-24 years	15-24	Cocaine	T40.5	2018	2018	887	42970800	2.1
15-24 years	15-24	Cocaine	T40.5	2019	2019	881	42687510	2.1
15-24 years	15-24	Other and unspecified narcotics	T40.6	1999	1999	239	38676031	0.6
15-24 years	15-24	Other and unspecified narcotics	T40.6	2000	2000	265	39183891	0.7
15-24 years	15-24	Other and unspecified narcotics	T40.6	2001	2001	286	40213570	0.7
15-24 years	15-24	Other and unspecified narcotics	T40.6	2002	2002	321	40854135	0.8
15-24 years	15-24	Other and unspecified narcotics	T40.6	2003	2003	321	41388854	0.8
15-24 years	15-24	Other and unspecified narcotics	T40.6	2004	2004	301	41948112	0.7
15-24 years	15-24	Other and unspecified narcotics	T40.6	2005	2005	353	42446169	0.8
15-24 years	15-24	Other and unspecified narcotics	T40.6	2006	2006	324	42843844	0.8
15-24 years	15-24	Other and unspecified narcotics	T40.6	2007	2007	280	43145815	0.6
15-24 years	15-24	Other and unspecified narcotics	T40.6	2008	2008	352	43391492	0.8
15-24 years	15-24	Other and unspecified narcotics	T40.6	2009	2009	337	43576932	0.8
15-24 years	15-24	Other and unspecified narcotics	T40.6	2010	2010	310	43626342	0.7
15-24 years	15-24	Other and unspecified narcotics	T40.6	2011	2011	361	43797875	0.8
15-24 years	15-24	Other and unspecified narcotics	T40.6	2012	2012	344	43943905	0.8
15-24 years	15-24	Other and unspecified narcotics	T40.6	2013	2013	310	43954402	0.7
15-24 years	15-24	Other and unspecified narcotics	T40.6	2014	2014	279	43979821	0.6
15-24 years	15-24	Other and unspecified narcotics	T40.6	2015	2015	266	43848216	0.6
15-24 years	15-24	Other and unspecified narcotics	T40.6	2016	2016	267	43511027	0.6
15-24 years	15-24	Other and unspecified narcotics	T40.6	2017	2017	184	43250295	0.4
15-24 years	15-24	Other and unspecified narcotics	T40.6	2018	2018	117	42970800	0.3
15-24 years	15-24	Other and unspecified narcotics	T40.6	2019	2019	88	42687510	0.2
15-24 years	15-24	Cannabis (derivatives)	T40.7	1999	1999	12	38676031	Unreliable
15-24 years	15-24	Cannabis (derivatives)	T40.7	2000	2000	15	39183891	Unreliable
15-24 years	15-24	Cannabis (derivatives)	T40.7	2001	2001	12	40213570	Unreliable
15-24 years	15-24	Cannabis (derivatives)	T40.7	2002	2002	20	40854135	0
15-24 years	15-24	Cannabis (derivatives)	T40.7	2003	2003	22	41388854	0.1
15-24 years	15-24	Cannabis (derivatives)	T40.7	2004	2004	33	41948112	0.1
15-24 years	15-24	Cannabis (derivatives)	T40.7	2005	2005	41	42446169	0.1
15-24 years	15-24	Cannabis (derivatives)	T40.7	2006	2006	47	42843844	0.1
15-24 years	15-24	Cannabis (derivatives)	T40.7	2007	2007	47	43145815	0.1
15-24 years	15-24	Cannabis (derivatives)	T40.7	2008	2008	42	43391492	0.1
15-24 years	15-24	Cannabis (derivatives)	T40.7	2009	2009	49	43576932	0.1
15-24 years	15-24	Cannabis (derivatives)	T40.7	2010	2010	71	43626342	0.2
15-24 years	15-24	Cannabis (derivatives)	T40.7	2011	2011	73	43797875	0.2
15-24 years	15-24	Cannabis (derivatives)	T40.7	2012	2012	74	43943905	0.2
15-24 years	15-24	Cannabis (derivatives)	T40.7	2013	2013	81	43954402	0.2
15-24 years	15-24	Cannabis (derivatives)	T40.7	2014	2014	92	43979821	0.2
15-24 years	15-24	Cannabis (derivatives)	T40.7	2015	2015	102	43848216	0.2
15-24 years	15-24	Cannabis (derivatives)	T40.7	2016	2016	142	43511027	0.3
15-24 years	15-24	Cannabis (derivatives)	T40.7	2017	2017	145	43250295	0.3
15-24 years	15-24	Cannabis (derivatives)	T40.7	2018	2018	148	42970800	0.3
15-24 years	15-24	Cannabis (derivatives)	T40.7	2019	2019	179	42687510	0.4
15-24 years	15-24	Lysergide [LSD]	T40.8	1999	1999	3	38676031	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2000	2000	3	39183891	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2001	2001	2	40213570	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2002	2002	1	40854135	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2003	2003	1	41388854	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2004	2004	1	41948112	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2005	2005	1	42446169	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2006	2006	0	42843844	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2007	2007	2	43145815	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2008	2008	0	43391492	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2009	2009	1	43576932	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2010	2010	0	43626342	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2011	2011	0	43797875	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2012	2012	1	43943905	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2013	2013	5	43954402	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2014	2014	4	43979821	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2015	2015	1	43848216	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2016	2016	2	43511027	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2017	2017	12	43250295	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2018	2018	9	42970800	Unreliable
15-24 years	15-24	Lysergide [LSD]	T40.8	2019	2019	12	42687510	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	1999	1999	2	38676031	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2000	2000	3	39183891	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2001	2001	2	40213570	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2002	2002	3	40854135	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2003	2003	2	41388854	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2004	2004	3	41948112	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2005	2005	1	42446169	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2006	2006	1	42843844	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2007	2007	1	43145815	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2008	2008	3	43391492	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2009	2009	5	43576932	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2010	2010	3	43626342	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2011	2011	5	43797875	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2012	2012	5	43943905	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2013	2013	1	43954402	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2014	2014	9	43979821	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2015	2015	9	43848216	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2016	2016	2	43511027	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2017	2017	3	43250295	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2018	2018	4	42970800	Unreliable
15-24 years	15-24	Other and unspecified psychodysleptics [hallucinogens]	T40.9	2019	2019	1	42687510	Unreliable
25-34 years	25-34	Opium	T40.0	1999	1999	2	40178406	Unreliable
25-34 years	25-34	Opium	T40.0	2000	2000	0	39891724	Unreliable
25-34 years	25-34	Opium	T40.0	2001	2001	0	39471522	Unreliable
25-34 years	25-34	Opium	T40.0	2002	2002	1	39349646	Unreliable
25-34 years	25-34	Opium	T40.0	2003	2003	2	39243795	Unreliable
25-34 years	25-34	Opium	T40.0	2004	2004	0	39266556	Unreliable
25-34 years	25-34	Opium	T40.0	2005	2005	0	39258647	Unreliable
25-34 years	25-34	Opium	T40.0	2006	2006	0	39395179	Unreliable
25-34 years	25-34	Opium	T40.0	2007	2007	0	39713463	Unreliable
25-34 years	25-34	Opium	T40.0	2008	2008	0	40207473	Unreliable
25-34 years	25-34	Opium	T40.0	2009	2009	0	40723342	Unreliable
25-34 years	25-34	Opium	T40.0	2010	2010	1	41063948	Unreliable
25-34 years	25-34	Opium	T40.0	2011	2011	0	41790498	Unreliable
25-34 years	25-34	Opium	T40.0	2012	2012	0	42309321	Unreliable
25-34 years	25-34	Opium	T40.0	2013	2013	2	42844587	Unreliable
25-34 years	25-34	Opium	T40.0	2014	2014	0	43516504	Unreliable
25-34 years	25-34	Opium	T40.0	2015	2015	0	44137202	Unreliable
25-34 years	25-34	Opium	T40.0	2016	2016	3	44677243	Unreliable
25-34 years	25-34	Opium	T40.0	2017	2017	2	45342672	Unreliable
25-34 years	25-34	Opium	T40.0	2018	2018	1	45697774	Unreliable
25-34 years	25-34	Opium	T40.0	2019	2019	1	45940321	Unreliable
25-34 years	25-34	Heroin	T40.1	1999	1999	423	40178406	1.1
25-34 years	25-34	Heroin	T40.1	2000	2000	438	39891724	1.1
25-34 years	25-34	Heroin	T40.1	2001	2001	404	39471522	1
25-34 years	25-34	Heroin	T40.1	2002	2002	444	39349646	1.1
25-34 years	25-34	Heroin	T40.1	2003	2003	469	39243795	1.2
25-34 years	25-34	Heroin	T40.1	2004	2004	478	39266556	1.2
25-34 years	25-34	Heroin	T40.1	2005	2005	506	39258647	1.3
25-34 years	25-34	Heroin	T40.1	2006	2006	501	39395179	1.3
25-34 years	25-34	Heroin	T40.1	2007	2007	582	39713463	1.5
25-34 years	25-34	Heroin	T40.1	2008	2008	802	40207473	2
25-34 years	25-34	Heroin	T40.1	2009	2009	957	40723342	2.4
25-34 years	25-34	Heroin	T40.1	2010	2010	923	41063948	2.2
25-34 years	25-34	Heroin	T40.1	2011	2011	1427	41790498	3.4
25-34 years	25-34	Heroin	T40.1	2012	2012	1952	42309321	4.6
25-34 years	25-34	Heroin	T40.1	2013	2013	2725	42844587	6.4
25-34 years	25-34	Heroin	T40.1	2014	2014	3541	43516504	8.1
25-34 years	25-34	Heroin	T40.1	2015	2015	4334	44137202	9.8
25-34 years	25-34	Heroin	T40.1	2016	2016	5124	44677243	11.5
25-34 years	25-34	Heroin	T40.1	2017	2017	4945	45342672	10.9
25-34 years	25-34	Heroin	T40.1	2018	2018	4703	45697774	10.3
25-34 years	25-34	Heroin	T40.1	2019	2019	4078	45940321	8.9
25-34 years	25-34	Other opioids	T40.2	1999	1999	562	40178406	1.4
25-34 years	25-34	Other opioids	T40.2	2000	2000	558	39891724	1.4
25-34 years	25-34	Other opioids	T40.2	2001	2001	592	39471522	1.5
25-34 years	25-34	Other opioids	T40.2	2002	2002	786	39349646	2
25-34 years	25-34	Other opioids	T40.2	2003	2003	857	39243795	2.2
25-34 years	25-34	Other opioids	T40.2	2004	2004	868	39266556	2.2
25-34 years	25-34	Other opioids	T40.2	2005	2005	1018	39258647	2.6
25-34 years	25-34	Other opioids	T40.2	2006	2006	1296	39395179	3.3
25-34 years	25-34	Other opioids	T40.2	2007	2007	1559	39713463	3.9
25-34 years	25-34	Other opioids	T40.2	2008	2008	1716	40207473	4.3
25-34 years	25-34	Other opioids	T40.2	2009	2009	1897	40723342	4.7
25-34 years	25-34	Other opioids	T40.2	2010	2010	2232	41063948	5.4
25-34 years	25-34	Other opioids	T40.2	2011	2011	2408	41790498	5.8
25-34 years	25-34	Other opioids	T40.2	2012	2012	2126	42309321	5
25-34 years	25-34	Other opioids	T40.2	2013	2013	2147	42844587	5
25-34 years	25-34	Other opioids	T40.2	2014	2014	2162	43516504	5
25-34 years	25-34	Other opioids	T40.2	2015	2015	2386	44137202	5.4
25-34 years	25-34	Other opioids	T40.2	2016	2016	2917	44677243	6.5
25-34 years	25-34	Other opioids	T40.2	2017	2017	2929	45342672	6.5
25-34 years	25-34	Other opioids	T40.2	2018	2018	2453	45697774	5.4
25-34 years	25-34	Other opioids	T40.2	2019	2019	2439	45940321	5.3
25-34 years	25-34	Methadone	T40.3	1999	1999	170	40178406	0.4
25-34 years	25-34	Methadone	T40.3	2000	2000	194	39891724	0.5
25-34 years	25-34	Methadone	T40.3	2001	2001	278	39471522	0.7
25-34 years	25-34	Methadone	T40.3	2002	2002	481	39349646	1.2
25-34 years	25-34	Methadone	T40.3	2003	2003	554	39243795	1.4
25-34 years	25-34	Methadone	T40.3	2004	2004	844	39266556	2.1
25-34 years	25-34	Methadone	T40.3	2005	2005	1000	39258647	2.5
25-34 years	25-34	Methadone	T40.3	2006	2006	1269	39395179	3.2
25-34 years	25-34	Methadone	T40.3	2007	2007	1332	39713463	3.4
25-34 years	25-34	Methadone	T40.3	2008	2008	1170	40207473	2.9
25-34 years	25-34	Methadone	T40.3	2009	2009	1125	40723342	2.8
25-34 years	25-34	Methadone	T40.3	2010	2010	1172	41063948	2.9
25-34 years	25-34	Methadone	T40.3	2011	2011	1124	41790498	2.7
25-34 years	25-34	Methadone	T40.3	2012	2012	1013	42309321	2.4
25-34 years	25-34	Methadone	T40.3	2013	2013	868	42844587	2
25-34 years	25-34	Methadone	T40.3	2014	2014	818	43516504	1.9
25-34 years	25-34	Methadone	T40.3	2015	2015	748	44137202	1.7
25-34 years	25-34	Methadone	T40.3	2016	2016	780	44677243	1.7
25-34 years	25-34	Methadone	T40.3	2017	2017	690	45342672	1.5
25-34 years	25-34	Methadone	T40.3	2018	2018	584	45697774	1.3
25-34 years	25-34	Methadone	T40.3	2019	2019	544	45940321	1.2
25-34 years	25-34	Other synthetic narcotics	T40.4	1999	1999	125	40178406	0.3
25-34 years	25-34	Other synthetic narcotics	T40.4	2000	2000	101	39891724	0.3
25-34 years	25-34	Other synthetic narcotics	T40.4	2001	2001	152	39471522	0.4
25-34 years	25-34	Other synthetic narcotics	T40.4	2002	2002	219	39349646	0.6
25-34 years	25-34	Other synthetic narcotics	T40.4	2003	2003	240	39243795	0.6
25-34 years	25-34	Other synthetic narcotics	T40.4	2004	2004	267	39266556	0.7
25-34 years	25-34	Other synthetic narcotics	T40.4	2005	2005	302	39258647	0.8
25-34 years	25-34	Other synthetic narcotics	T40.4	2006	2006	526	39395179	1.3
25-34 years	25-34	Other synthetic narcotics	T40.4	2007	2007	417	39713463	1.1
25-34 years	25-34	Other synthetic narcotics	T40.4	2008	2008	399	40207473	1
25-34 years	25-34	Other synthetic narcotics	T40.4	2009	2009	511	40723342	1.3
25-34 years	25-34	Other synthetic narcotics	T40.4	2010	2010	602	41063948	1.5
25-34 years	25-34	Other synthetic narcotics	T40.4	2011	2011	527	41790498	1.3
25-34 years	25-34	Other synthetic narcotics	T40.4	2012	2012	549	42309321	1.3
25-34 years	25-34	Other synthetic narcotics	T40.4	2013	2013	653	42844587	1.5
25-34 years	25-34	Other synthetic narcotics	T40.4	2014	2014	1492	43516504	3.4
25-34 years	25-34	Other synthetic narcotics	T40.4	2015	2015	2932	44137202	6.6
25-34 years	25-34	Other synthetic narcotics	T40.4	2016	2016	6163	44677243	13.8
25-34 years	25-34	Other synthetic narcotics	T40.4	2017	2017	8916	45342672	19.7
25-34 years	25-34	Other synthetic narcotics	T40.4	2018	2018	9671	45697774	21.2
25-34 years	25-34	Other synthetic narcotics	T40.4	2019	2019	10664	45940321	23.2
25-34 years	25-34	Cocaine	T40.5	1999	1999	1042	40178406	2.6
25-34 years	25-34	Cocaine	T40.5	2000	2000	875	39891724	2.2
25-34 years	25-34	Cocaine	T40.5	2001	2001	906	39471522	2.3
25-34 years	25-34	Cocaine	T40.5	2002	2002	1027	39349646	2.6
25-34 years	25-34	Cocaine	T40.5	2003	2003	1153	39243795	2.9
25-34 years	25-34	Cocaine	T40.5	2004	2004	1138	39266556	2.9
25-34 years	25-34	Cocaine	T40.5	2005	2005	1328	39258647	3.4
25-34 years	25-34	Cocaine	T40.5	2006	2006	1575	39395179	4
25-34 years	25-34	Cocaine	T40.5	2007	2007	1368	39713463	3.4
25-34 years	25-34	Cocaine	T40.5	2008	2008	1069	40207473	2.7
25-34 years	25-34	Cocaine	T40.5	2009	2009	874	40723342	2.1
25-34 years	25-34	Cocaine	T40.5	2010	2010	806	41063948	2
25-34 years	25-34	Cocaine	T40.5	2011	2011	1020	41790498	2.4
25-34 years	25-34	Cocaine	T40.5	2012	2012	873	42309321	2.1
25-34 years	25-34	Cocaine	T40.5	2013	2013	1020	42844587	2.4
25-34 years	25-34	Cocaine	T40.5	2014	2014	1216	43516504	2.8
25-34 years	25-34	Cocaine	T40.5	2015	2015	1636	44137202	3.7
25-34 years	25-34	Cocaine	T40.5	2016	2016	2626	44677243	5.9
25-34 years	25-34	Cocaine	T40.5	2017	2017	3565	45342672	7.9
25-34 years	25-34	Cocaine	T40.5	2018	2018	3662	45697774	8
25-34 years	25-34	Cocaine	T40.5	2019	2019	3737	45940321	8.1
